Word,Occurrences
,2
limited,13
child,2
colleges,4
four,4
facilities,18
protest,8
asian,9
whose,17
votes,2
voter,4
granting,30
eligible,1
disability,29
protections,3
under,179
homemakers,2
worth,1
placed,1
merchant,2
promulgated,1
risk,1
legislatures,1
regional,1
appropriation,1
every,1
govern,9
advocating,1
school,67
morrill,2
companies,7
prefix,2
chamizal,2
abolishing,1
force,12
construed,1
guidelines,25
direct,9
elections,58
second,2
established,18
spouses,2
preferences,1
decisions,5
selected,1
asia,1
above,1
conduct,8
new,13
net,1
increasing,3
seeks,1
viii,18
deemed,4
offenses,4
men,4
protection,78
represented,1
obtained,4
balance,1
employees,123
reports,15
controversy,2
credit,131
fulltime,3
permit,37
military,31
adopting,2
changes,27
punishment,1
issuers,1
secure,40
classification,9
unborn,10
brought,22
total,3
unit,2
apportionment,1
would,3
hospital,16
morison,1
seventy,5
distributing,1
foster,1
call,14
telegraph,1
type,3
until,14
newspersons,2
females,1
successful,4
award,7
hold,1
circumstances,20
word,2
divorced,2
rights,516
work,11
mr,2
indicated,1
give,2
indicates,2
counseling,4
guarantee,15
carriers,4
provide,591
travel,1
damage,3
adjacent,1
significance,1
pattison,1
classifying,2
minority,55
after,14
loyalty,1
lotteries,1
customs,1
wrong,2
lay,5
schoolchildren,5
law,101
promotion,2
types,9
purchase,2
federallyfunded,2
effective,2
maintain,6
expenses,3
enter,21
operate,1
athletes,2
order,61
blind,21
fetus,14
office,61
prospective,1
consent,35
over,17
reforms,3
eavesdropping,6
innovative,1
misconduct,1
rebellion,1
before,18
nonaural,7
personal,26
survivors,16
compelling,1
vandalize,6
them,26
affected,2
safe,1
intimidation,1
academics,1
effects,2
they,14
schools,94
sixteen,1
humanity,2
bank,4
anesthetics,2
classified,8
sterilizations,3
reasonable,23
each,21
bona,2
canadianmexican,2
instrumentality,2
prohibit,293
correctional,5
financial,82
suspended,1
crimes,3
principles,22
marital,78
vote,33
decree,19
restricted,1
vessels,1
encourage,11
assignment,7
forth,1
foundation,1
numerical,1
telecommunication,2
qualifications,5
little,7
free,57
standard,2
created,3
practitioner,1
days,5
oppose,7
reserving,4
uses,1
onto,1
appreciable,1
preborn,2
organize,5
thereon,5
primary,15
thereof,4
hearing,11
restrict,12
plurality,2
establishments,1
another,2
samoa,1
electronic,32
andor,12
seizures,4
agriculture,2
ten,2
service,47
girls,7
approximately,3
rates,2
xiv,20
xix,5
farming,7
dogs,2
transmittal,1
urban,12
ceiling,1
gym,1
convention,2
serve,4
truthinlending,2
nonpartisan,2
postsecondary,1
policymaking,2
nations,7
preparation,1
matter,1
classes,4
domestics,1
solely,12
rewrite,2
respecting,1
manner,13
regulate,1
seek,4
affairs,17
rudolph,1
isolated,1
anticanadian,1
practices,81
forces,60
effectiveness,6
committing,2
shall,111
extending,2
involving,23
letter,1
entry,1
manifested,1
assisting,1
medical,60
flow,32
dog,1
orderly,3
enterprise,15
voting,119
consumer,17
advisory,14
sanctuary,1
meetings,20
jurisdiction,59
parolees,1
ending,5
undue,1
radio,15
liberty,1
participate,21
availability,19
judges,4
just,2
situations,1
delays,1
sentence,1
commence,3
rico,1
adequate,4
wearing,1
monica,1
nontherapeutic,1
toll,5
coast,2
supplies,1
report,7
comply,5
chronological,1
countries,2
release,6
hasten,7
automatic,2
respond,5
peshawar,2
leasing,2
disaster,3
fair,62
testing,1
detection,1
result,7
desegregation,22
discriminating,2
subject,23
inappropriate,1
propulsion,6
patients,15
prince,1
future,2
occupational,1
preserve,9
terms,2
extend,80
vows,1
restricting,19
authorizing,4
southeast,1
extent,1
news,16
debt,2
improve,19
protect,217
referral,1
country,2
ill,1
against,131
participating,1
games,1
receives,2
requests,5
expense,1
workers,14
excess,3
seizure,7
applicability,16
pregnancy,11
trust,3
telecommunications,20
speak,1
conference,5
basis,196
union,3
sororities,3
three,1
been,22
commission,86
mitigation,1
interest,13
privilege,2
defray,1
life,19
votings,1
families,5
drugs,2
concerning,57
enterprises,4
personally,2
aviation,10
violations,13
commerce,25
exception,2
has,4
presidency,2
affirm,2
air,9
employ,1
moratorium,1
teachers,8
applies,1
aid,11
property,14
study,16
procedure,9
ix,33
seven,3
compliance,1
fourteenth,11
metropolitan,1
it,63
iv,24
ii,4
eighteen,3
experts,1
if,8
kildee,1
vindicate,1
perform,3
things,2
make,105
enlistment,1
sheltered,2
several,1
entitled,27
independent,2
advocate,1
social,102
rail,1
liberties,8
runoff,2
ownership,8
faiths,23
opportunity,41
judgement,1
successors,1
kept,2
intrusion,2
programs,80
possessed,5
hispanic,2
savings,3
materials,16
subpoena,1
mother,4
claims,3
musical,7
proposed,14
unemployment,1
athletic,1
distribute,5
unfair,1
assigned,1
financially,14
human,28
facts,2
article,2
adding,3
forfeiture,2
authorizations,2
equipment,11
royal,1
exempting,1
concerns,26
board,7
justices,1
technological,1
save,1
enactment,1
designate,1
comprehensive,7
casting,2
involuntary,10
distinctions,13
interior,3
cultural,2
desire,1
gift,1
performing,1
unnecessary,2
intercollegiate,1
offices,11
officer,28
security,13
attorney,8
right,132
deal,1
people,18
creed,12
deaf,15
elderly,35
consultants,1
clubs,1
productions,1
election,20
indirect,2
repelling,1
specific,6
proceeding,1
communications,103
coercion,13
continue,3
denied,6
participation,17
dental,15
constructive,6
architectural,11
peer,2
permitted,1
chapter,22
limitation,36
filipino,4
dollars,1
months,1
o,1
costs,5
ensure,11
islands,4
efforts,7
automatically,4
facility,15
civil,351
nongovernmental,5
obscene,3
administer,1
beings,6
furnishing,4
lieu,5
balanced,5
deception,1
antireligious,2
frenchcanadians,1
support,4
virgin,2
joseph,1
authorized,1
way,1
handicaps,1
was,5
war,1
head,2
insurrection,1
form,4
observances,8
blindness,8
safeguard,5
incamera,2
assessment,1
bargain,2
devices,39
minor,1
eliott,1
plaintiffs,2
originating,1
mails,5
strengthening,1
covert,1
covers,9
evidence,4
exist,4
prayer,31
paperwork,1
constructed,2
discriminate,37
no,36
affectional,21
when,2
republic,1
holding,14
papers,12
permitting,1
handicap,29
journey,2
intent,4
establish,122
authorities,1
discharge,17
senior,2
reorganization,1
restores,1
commenced,3
withhold,1
subscription,1
vietnam,1
time,5
corps,3
relieve,3
alternatives,2
dumas,2
computation,5
displaying,2
show,1
environment,1
chances,1
charge,2
compensate,2
promoting,1
determinations,5
veterans,5
teton,3
bilingualism,1
consolidation,1
choice,16
liability,12
governments,20
level,1
permits,6
proposals,16
standards,82
magnet,1
subway,1
depository,8
prevent,82
olympic,2
dealing,13
pregnancies,1
obsolete,1
affiliation,1
cost,3
minimis,5
substitute,1
indochina,9
constitution,93
assistance,111
