Word,Occurrences
limited,2
code,47
managed,1
exhibitions,5
relieve,1
results,1
alien,1
contributions,53
centers,4
relationships,1
encourage,3
opportunities,1
literary,25
program,8
under,1
ambience,1
circumstances,1
activities,20
nonresident,1
federation,6
refinance,1
regional,3
sellers,1
liability,1
artwork,1
tickets,1
phonorecord,3
f,35
humanistic,5
enhance,1
indemnity,4
olympic,2
revolution,1
direct,1
nonperforming,18
rate,2
cost,1
video,2
further,13
situated,10
folk,1
bethune,1
established,1
usia,1
fine,2
section,35
contributed,2
transmit,1
reconstruction,4
capital,2
contributes,3
public,7
locallysupported,1
exchange,1
modify,13
packing,1
operating,1
tapes,2
canadian,33
institute,2
employees,23
reports,1
credit,17
amount,3
permit,2
changes,2
authorize,16
centum,1
endownment,1
private,1
county,1
establish,15
use,1
volusia,1
leaks,1
music,6
films,12
means,3
authorization,1
folger,1
parliament,22
tax,42
visual,3
known,1
charity,3
organizations,6
rights,25
challenge,3
making,10
history,1
purchases,3
give,22
folklife,18
purposes,59
information,4
educational,5
recovery,1
provide,92
acts,2
establishment,23
buildings,7
may,4
derived,1
indemnities,5
winter,1
purchase,5
realized,1
exhibited,2
allow,12
office,11
september,1
nonperformance,1
years,1
produced,3
through,1
japan,1
industries,10
exhibits,1
labor,16
production,11
communities,10
rental,1
bank,6
countries,1
trap,6
repayment,1
eprovinces,2
prevailing,5
financial,29
nondramatic,3
house,3
year,3
out,2
canada,71
increase,3
farm,3
contained,16
foundation,59
free,1
depots,10
compositions,12
training,2
florida,1
motion,8
handicrafts,2
corrections,1
promotion,1
facilitate,2
support,3
first,1
revenue,44
primary,2
coinoperated,3
carry,2
corporations,4
wages,5
george,1
given,22
service,1
similarly,10
relations,16
their,25
john,34
lease,1
taxation,3
park,3
authors,2
institution,1
performers,22
require,7
board,1
nations,1
project,1
historical,2
treated,2
rent,2
any,3
affairs,1
rudolph,1
investment,8
chairman,1
which,7
interior,18
province,2
communityoriented,1
shall,2
onehalf,1
indemnification,2
unused,10
services,32
payment,25
performances,3
humanitarian,1
handcrafts,2
sale,4
charitable,10
artistic,35
pictures,1
effect,1
assistance,4
gain,3
incorporate,5
amending,1
contemporary,3
endowment,5
availability,1
title,4
treasury,2
bonds,1
contracts,1
photography,1
conduct,1
employers,43
during,2
conjunction,2
increasing,2
artist,3
filene,3
remove,6
art,21
national,87
individual,1
college,1
are,4
audits,2
repairs,1
federal,27
subsequent,1
laureate,7
circulating,1
outside,2
bureau,1
between,2
donate,2
available,11
extend,18
audiovisual,1
agencies,5
authorizing,18
cities,1
restrictions,13
appropriations,25
country,1
against,2
foreign,1
deduction,6
players,3
connection,25
games,1
canadians,2
exceeds,2
contribution,2
otherwise,1
among,1
grants,2
respect,4
throughout,1
provinces,1
create,2
commission,3
agreements,1
maintenance,1
certain,45
poet,7
meeting,1
mary,1
define,1
life,1
champion,1
fund,2
ensuring,1
minister,19
those,1
case,18
amend,116
expanded,1
technical,1
property,18
engaged,5
municipal,2
memorial,1
erroneously,1
emergency,2
grant,3
pay,5
make,32
administration,1
same,12
northwest,1
composition,16
entitled,1
development,3
independent,2
used,1
upon,1
amendments,1
director,2
viewing,2
purpose,7
contractors,5
opportunity,25
appropriated,1
center,62
programs,2
costs,2
organization,2
musical,28
agency,4
unemployment,2
when,3
authorizations,3
admission,1
advancement,25
improvement,8
treatment,2
exempt,1
administrative,2
lending,1
march,1
amended,6
provisions,2
smithsonian,1
ancillary,1
cultural,13
railroad,10
projects,2
necessary,19
kennedy,37
performing,51
taxpayers,5
individuals,23
donations,1
payments,1
bethunecookman,1
works,15
reduced,1
deduct,3
senate,3
pacific,1
clubs,6
productions,6
employment,3
composers,1
theatrical,11
mcleod,1
theatre,1
per,1
limitations,6
selecting,3
arts,172
relating,3
on,62
industry,12
bicentennial,2
wolf,6
biennial,1
repair,2
within,6
washington,1
accounts,1
artists,6
utility,1
additional,2
artifacts,4
museum,11
initial,1
was,1
elsewhere,1
funds,4
construction,14
library,19
promote,3
with,32
count,1
made,1
us,3
limit,2
distribution,5
similar,18
display,8
passenger,10
associated,1
recognize,2
sales,1
general,2
accounting,2
nonrecognition,1
film,9
functions,21
humanities,82
amounts,2
percent,2
scholarly,1
income,34
department,1
picture,7
endeavors,5
prepared,2
coverage,2
fiscal,4
e,1
departments,5
wilma,1
original,1
