Word,Occurrences
,4
limited,14
consolidated,16
magnetic,5
threeyear,1
four,2
facilities,253
energyconserving,19
lowcost,9
northeastmidwest,3
saved,2
assembled,1
relationships,5
whose,3
voter,1
granting,58
eligible,26
electricity,77
crises,1
phasedown,2
swap,1
under,223
merchant,1
mines,31
promulgated,11
risk,3
propane,44
regional,37
compacts,6
appropriation,4
every,33
lignite,4
nontaxable,3
affect,15
interlocking,3
school,6
specify,3
prize,1
investigator,2
crops,2
cause,2
companies,73
pipelinetransported,1
correct,11
convenience,9
unrelated,2
nearshore,1
delegate,11
enhance,25
abolishing,2
straight,1
methane,2
petroleumincluding,1
aeronautics,70
bicycle,10
specially,5
insular,4
consistent,23
guidelines,2
estimates,1
direct,165
feasibility,38
second,4
air,44
energyproducing,12
established,13
settlement,2
preferences,10
incompatible,1
integrity,3
selected,1
contributed,1
supplied,4
lights,4
bonuses,2
fossil,7
conduct,55
supplies,176
net,5
increasing,23
officially,1
consisting,2
harbors,3
injections,1
evolving,3
simultaneously,1
offenses,2
multifamily,3
mechanisms,3
residual,36
met,15
protection,119
pennsylvania,6
isotope,2
ethanol,7
centralize,2
mex,3
dry,11
balance,2
ventures,2
items,2
study,71
economics,1
reports,8
expedited,11
museums,1
credit,371
fulltime,8
permit,63
fuelefficient,4
military,10
suitable,13
changes,8
cancellation,2
mutual,2
secure,35
campaign,5
inequitable,2
highly,4
county,18
regulatory,169
ninety,3
auditing,6
unit,10
derivatives,3
marketers,17
would,10
army,4
remainder,1
notforprofit,1
lessening,3
distributing,3
enriching,2
foster,4
call,3
recommend,8
interruption,4
administering,1
assessment,37
until,52
expiring,2
preparation,4
paperwork,4
standardized,3
successful,2
disruption,3
shelters,3
physically,2
hold,5
casualties,2
supplemental,17
circumstances,12
divorced,2
permits,26
mo,1
work,9
gasoline,233
roof,2
mt,1
deficiencies,3
nationalizing,1
temperatures,1
install,1
gallons,5
certify,1
anticompetitive,8
revenues,36
could,1
defer,1
transition,14
unilateral,1
give,17
unjust,3
household,1
preserving,1
organized,2
involve,1
selfsufficiency,7
selfsufficient,1
times,9
advancing,3
guarantee,15
end,24
recovery,60
carriers,6
elbert,1
endusers,3
travel,1
drying,1
damage,19
shortrange,2
hot,27
adjacent,5
widespread,3
directorships,2
charging,1
offshore,26
commencing,1
minority,2
oreg,1
replacing,7
insecure,1
after,51
memorial,17
law,46
nonprofit,22
types,3
tourism,1
purchase,88
effective,59
homeowners,20
lost,2
detonations,1
maintain,28
enter,18
operate,35
order,137
wind,21
transporation,1
operations,75
restriction,3
office,67
consent,29
over,37
satisfied,7
drawdown,1
innovative,1
dwelling,21
biofuels,2
before,24
fittings,2
tailings,8
personal,2
revenue,806
survivors,1
production,314
clause,7
surcharges,3
overcome,3
damages,8
count,1
them,6
affected,25
unemployed,1
safe,17
effects,26
they,3
schools,10
undeveloped,5
silver,1
bank,38
competitiveness,1
represents,1
rocky,2
lightduty,1
reasonably,1
l,2
rocks,4
dyeing,1
motoring,1
reasonable,89
each,97
ovens,1
hearingimpaired,1
noncompliance,1
bond,7
consolidate,14
prohibit,168
financial,115
suspended,1
councils,1
list,1
initiate,1
vote,1
prudhoe,2
reached,1
navy,8
laboratory,2
ratepayers,5
extract,3
prohibitions,5
driving,1
restricted,3
waive,7
diesel,34
vessels,56
fellowship,1
encourage,221
celling,2
assignment,2
revolving,6
expediting,4
selfdealing,2
forth,12
independence,7
foundation,68
arizona,1
condensers,4
interchange,1
veto,6
threatened,1
free,16
standard,15
curtailment,8
offbudget,1
unauthorized,1
certified,1
created,4
privacy,1
longterm,26
days,11
priorities,6
renew,2
incorporated,2
corrections,5
uses,36
thirtyfour,1
user,1
inspectors,2
landlords,1
industrial,102
abolish,15
thereon,5
ornamental,1
revitalization,1
encouraging,16
thereof,20
hearing,6
restrict,9
wash,1
establishments,1
another,11
insulation,49
force,3
hood,2
withheld,1
service,87
takeovers,3
returns,1
needed,12
rates,94
stock,12
worlds,3
percentage,124
farming,1
penalties,7
urban,39
ceiling,17
enhancing,5
mechanism,4
arising,3
serve,4
wastes,24
western,3
cereal,3
sulphur,2
reimbursable,2
maintaining,1
energysaving,6
begins,2
liquefaction,12
nations,37
project,54
classes,9
fiveyear,6
enables,1
powers,7
acquisition,67
extracting,2
unintended,4
fashion,1
better,3
nonattainment,1
respecting,5
mine,16
wellbeing,3
seed,1
manner,31
regulate,89
seek,2
affairs,6
escalator,2
ensuring,2
responsible,2
thorough,2
situated,3
owneroperator,2
localities,10
reinprovincement,34
practices,53
forces,4
transmit,4
effectiveness,1
imprudent,2
stone,1
shall,197
indemnification,4
shale,90
extending,8
investorowned,4
involving,5
affirmatively,2
entry,4
phase,6
airship,2
explosives,7
reimbursement,7
mitigate,5
antitrust,4
consumed,9
camp,1
metal,1
spencer,3
orderly,12
points,1
enterprise,7
voting,1
consumer,81
reserve,80
advisory,5
amending,25
reactor,18
reductions,3
reorganize,19
jurisdiction,16
ending,18
undue,9
attempts,1
stringent,4
defects,3
solutions,2
participate,2
earth,13
nevada,4
availability,32
northeast,15
proposed,26
implementation,22
situations,3
explain,1
wasteful,2
commence,5
liquified,4
interfuel,1
integrate,1
adequate,108
continuity,2
do,7
exports,26
mixture,3
reconstruction,2
commodity,3
preferred,2
coast,2
new,173
report,13
comply,3
countries,31
fields,15
method,22
fryingpanarkansas,2
ban,3
automatic,8
steam,37
mergers,1
transporting,18
distortions,5
leasing,139
reference,26
lowpower,1
testing,10
alterations,1
observed,25
result,16
fail,3
interruptions,4
alternative,48
best,18
techniques,8
said,35
capacity,11
propulsion,8
away,1
sail,2
artificial,6
stamps,6
unable,2
energyequivalent,1
cooperation,64
occupational,4
preserve,24
deferred,2
wd,2
terms,10
nationwide,6
nature,4
restricting,3
authorizing,23
southeast,2
loading,1
extent,19
butane,2
debt,10
improve,85
received,7
protect,29
accident,4
reported,1
country,26
museum,3
amortized,1
heating,224
against,61
participating,1
games,1
contribution,2
expense,4
