Word,Occurrences
limited,9
consolidated,27
four,1
facilities,120
lowcost,3
whose,20
eligible,27
disability,3
contained,2
investigation,2
under,234
legislators,1
risk,7
regional,55
sellers,8
appropriation,8
every,1
reforms,2
affect,8
ala,1
school,21
skills,2
fha,3
viable,2
unrelated,6
employees,2
hostels,1
landlords,72
force,2
specially,31
consistent,1
direct,73
feasibility,7
surrounding,1
even,1
established,36
settlement,1
selected,4
contributed,9
bettercoordinated,2
unskilled,10
conduct,8
new,36
net,3
increasing,6
avert,1
multifamily,55
protection,58
borrowers,6
study,1
reports,1
expedited,3
credit,224
smoke,2
permit,52
military,10
suitable,4
changes,1
classification,1
replace,5
county,5
beneficiaries,1
total,5
unit,5
hospital,2
arms,1
occupying,2
threefourths,1
type,1
until,4
spaying,1
selfsustaining,1
award,1
shelters,4
expenses,63
supplemental,13
circumstances,3
rights,25
era,2
anticompetitive,1
appraisal,1
defer,1
transition,2
twothirds,1
cited,1
organized,4
currency,7
premium,4
guarantee,23
end,1
recovery,2
securities,1
provide,751
verify,2
travel,8
ordinary,1
rise,1
replacing,3
after,27
minimized,1
law,31
types,5
purchase,56
effective,31
homeowners,78
maintain,6
enter,8
plumbing,3
order,70
reforming,4
operations,11
blind,2
office,10
over,16
proportionate,17
innovative,1
saving,3
chronically,1
before,10
personal,7
recreational,1
survivors,1
production,20
them,57
affected,2
combination,1
unemployed,44
safe,4
accrual,2
zoning,1
reaches,1
they,47
schools,1
rental,149
bank,30
structural,1
reasonably,1
reasonable,4
each,8
bond,6
consolidate,4
prohibit,24
financial,37
companies,1
crimes,7
displacement,3
marital,11
foreclosures,2
combining,1
substantially,3
hostel,4
waive,2
wellplanned,1
encourage,113
assignment,1
revolving,5
newly,16
appraisers,1
underwrite,1
barrier,1
threatened,6
standard,12
allocation,8
enhance,2
certified,1
created,12
longterm,14
priorities,2
renew,1
moving,2
inspectors,1
industrial,16
revitalization,22
encouraging,5
thereof,3
hearing,6
restrict,4
occupancy,24
another,6
insulation,19
titled,1
intimidation,1
seizures,1
service,17
xii,5
needed,27
rates,12
xiv,1
percentage,4
farming,4
dogs,3
urban,356
enhancing,3
serve,4
lowor,1
target,4
nations,5
project,14
solely,5
minus,1
acquisition,9
manner,4
emphasizing,4
regulate,10
seek,12
affairs,18
attributable,9
localities,8
hemiparaplegic,1
forces,4
effectiveness,3
transactions,5
moderateincomes,1
extending,3
involving,2
underemployment,1
reimbursement,1
assisting,14
neighborhoods,41
mortgagees,1
principle,1
enterprise,25
consumer,10
reserve,4
homerepair,5
amending,4
jurisdiction,2
ending,21
foreignborn,8
surety,1
availability,18
semiskilled,10
implementation,14
habilitation,9
adequate,10
do,9
designing,1
coast,1
borrower,4
report,1
comply,1
weatherizationrelated,3
covering,1
method,10
greene,1
release,3
secretary,30
leasing,5
disaster,11
fair,7
alterations,2
zones,20
result,40
techniques,1
said,2
inappropriate,12
lots,3
patients,2
xvi,7
stamps,1
unable,38
cooperation,3
approach,3
preserve,7
terms,4
extend,132
restricting,2
authorizing,15
extent,8
debt,2
improve,44
faced,1
received,8
protect,39
country,5
ill,2
heating,33
against,70
participating,3
planned,16
contribution,3
expense,3
adapted,29
admission,9
canyon,1
administrations,2
trust,2
telecommunications,3
basis,47
three,4
been,21
subsidy,3
commission,37
much,1
interest,55
basic,8
privilege,2
flexible,2
incompetent,1
board,3
life,66
rather,1
families,100
concerning,1
affixed,1
enterprises,3
child,1
commerce,10
publicly,3
affirm,1
economies,2
employ,1
near,2
moratorium,2
ceilings,1
viii,6
aid,16
property,216
k,2
procedure,7
ix,3
losses,4
metropolitan,19
mexico,2
it,18
iv,9
ii,7
if,4
assurances,1
make,90
airport,3
inventory,1
several,9
entitled,44
independent,18
ownership,10
amortization,6
opportunity,7
prescribed,3
whereby,1
programs,194
hispanic,1
savings,39
practices,2
investments,17
nonmetropolitan,5
unified,1
