Word,Occurrences
aided,2
represent,1
all,33
code,27
doctor,2
migrated,2
v,1
issued,9
unique,2
tadeusz,1
month,1
alien,186
facilities,4
amending,1
darocha,2
nicaragua,2
welfare,15
exceptional,1
adjustment,11
religious,1
children,116
causes,3
duplicated,6
relationships,2
whose,2
granting,5
eligible,8
furnished,1
disability,1
james,1
adjudication,2
charge,19
program,19
permanently,1
supplemental,37
excluded,9
under,81
teaching,1
expeditious,5
include,17
veterans,7
lake,1
assist,11
deficit,2
pay,4
nonresident,9
supported,1
attribution,3
presently,4
undocumented,7
md,1
standards,3
detention,8
emergencies,5
jueihsia,1
sons,10
every,4
fifty,1
condition,3
governments,1
shootingdown,1
school,4
passport,1
staffs,1
haitian,9
presented,7
killed,1
philippines,1
tuam,1
registered,4
applicable,3
leopoldine,3
leave,1
these,6
cents,1
race,21
participation,1
el,3
incarceration,1
inconsistent,4
prevent,26
chua,1
force,1
fence,1
penalties,28
paso,1
direct,7
understanding,4
maintain,1
tex,1
second,4
cost,3
equal,1
chen,7
further,22
wladyslaw,3
port,4
oscar,1
will,15
indochina,35
spouses,13
rate,9
sun,1
section,69
disease,4
anniversary,4
asia,4
uniform,7
hostile,1
currently,1
conduct,2
international,10
public,40
can,1
mee,1
impact,9
administered,3
transportation,5
lee,1
offenses,1
eligibility,5
nyiri,1
error,1
commercial,1
crowley,1
agreement,4
america,2
farmworkers,12
operating,4
affidavits,4
separate,1
excess,1
represented,5
luis,1
along,2
fifteen,1
earthquake,1
change,16
selfemployed,1
passengers,2
engage,1
incoming,3
canadian,28
distressed,8
dates,2
employees,25
vietnamese,25
funded,3
petitioner,1
thereunder,13
friuli,1
prior,12
amount,1
nereida,1
survey,2
deceased,1
social,103
action,1
opinion,4
residents,39
suitable,1
cancellation,2
puerto,1
warrant,2
authorize,28
identification,2
retired,3
mcguire,1
family,1
servicemen,1
julie,1
piling,1
while,9
marked,1
replace,1
brought,4
immigrate,6
decrease,4
motor,2
apply,5
total,1
armed,6
post,3
select,9
retarded,1
silva,2
criminals,1
khan,1
handled,1
would,1
army,4
illegal,38
codify,3
two,19
remuneration,1
territories,4
circumstances,6
examination,1
refuge,1
availability,1
criteria,6
robertson,1
administering,1
until,1
authorization,6
more,34
possession,2
treated,9
parliament,2
determinations,2
furnishing,1
effectively,5
provincement,1
becomes,8
operators,5
freedom,5
occurred,3
afford,3
admissions,1
emigration,6
federally,4
paroled,3
parolee,5
known,6
cases,5
federallyprovided,1
iii,7
communist,1
behalf,17
presumed,1
organizations,17
account,13
migrants,7
extension,5
salvador,2
rights,1
this,4
noncitizens,3
work,1
jude,1
validation,1
paragraph,1
modify,3
resources,3
mr,1
incarcerated,1
making,1
professions,1
address,2
proof,1
control,8
august,1
months,13
patrol,7
figures,2
distortions,2
activities,7
final,5
florida,1
tax,6
purposes,203
accept,1
entrants,1
high,2
currency,1
minimum,5
caused,2
numbers,11
educating,4
allowed,1
exclude,27
made,5
native,4
information,9
educational,45
united,2
requirements,5
stricken,1
provide,345
purpose,2
six,4
write,2
dependent,7
instead,2
guarantee,1
establishment,12
classify,3
cucurullo,1
renounced,1
plans,9
may,82
use,17
respective,1
customs,6
designed,1
demonstrating,1
islands,6
date,8
court,7
substantive,3
law,4
response,1
types,1
liability,2
refuse,1
womens,1
natural,1
preferential,3
third,5
helsinki,4
whenever,1
applicant,1
departure,16
supervision,2
amendments,1
unlawfully,7
responsibility,7
enter,4
taking,2
subsequently,1
stewart,1
privileges,1
travel,5
operations,6
inspectors,6
serving,11
office,10
disclosure,1
reform,22
over,4
trade,5
disabled,1
held,7
surviving,3
committed,1
november,4
agricultural,10
pzungkai,1
its,9
before,12
industries,1
bridges,3
leases,1
group,1
exclusion,40
does,1
private,2
revenue,19
pzunghwei,1
labor,15
survivors,1
previously,1
territorial,2
permanent,109
subdivisions,1
patrolling,1
policy,9
coordinated,6
alexander,2
aliens,293
petition,6
assisted,1
pursue,1
them,1
popularly,1
return,6
university,1
later,3
civilian,1
food,2
practice,1
regarding,3
investigated,1
federico,1
unarmed,1
records,2
qualified,4
course,1
they,23
not,83
inspectional,2
provision,24
terrorism,2
association,7
literacy,2
term,1
january,1
preclude,1
classified,2
arrested,1
establishing,6
prerequisite,1
reasonable,3
each,1
disregard,1
involvement,1
naturalization,81
nationals,35
toll,3
carlos,1
bond,3
commonwealth,2
prohibit,20
financial,12
nephews,1
chung,1
aged,2
contiguous,6
receipt,1
reduce,5
principles,4
related,7
betty,1
engaging,1
elementary,1
used,7
sponsor,8
entering,4
year,18
columbia,1
operation,2
beyond,3
sexual,2
insurance,108
special,24
out,4
canada,447
large,4
shown,3
funding,1
honorably,3
waive,3
unlawful,8
enforceable,5
vessels,2
research,2
increase,23
farm,3
participants,2
daniel,1
health,18
cubans,1
evacuation,1
medicine,2
revolving,1
receiving,9
evaluation,2
reacquisition,2
fled,4
common,2
disclose,1
numerical,7
recommendations,2
dung,1
effect,3
clarify,4
qualify,16
ramos,1
meaningfully,1
members,5
obligation,7
beginning,1
immigrated,1
card,8
juan,1
definition,2
training,2
benefits,98
district,1
language,6
enlist,2
determining,9
refugee,80
impose,11
laszlo,1
days,3
investment,1
where,1
conducted,5
place,1
due,1
twenty,1
retain,8
facilitate,32
housing,4
south,1
permit,26
origin,21
prospective,7
suspension,1
render,7
occupations,3
guam,9
coming,1
number,10
one,2
restrict,2
instances,4
least,26
another,2
fees,10
carry,5
samoa,3
wages,1
pending,1
quality,1
earthquakes,4
size,1
corporal,4
city,2
given,4
management,2
limited,2
service,24
overtime,4
commit,1
financed,1
participates,1
system,2
adopted,38
cash,2
their,46
fought,1
rates,3
numbered,1
which,59
legally,1
ordered,3
farming,2
participated,10
national,32
relations,3
enforcement,3
ceiling,4
mariana,3
taxation,1
acquiescence,1
immediate,6
task,1
jane,1
part,5
western,13
inmates,1
doctors,2
taxable,2
july,1
antin,1
elderly,4
than,25
blind,1
continuous,1
begins,1
ministers,2
b,4
iranian,2
was,1
require,59
immigrants,62
diplomatic,3
likely,5
involved,1
nations,8
recording,4
charges,1
compensation,9
determined,5
marriage,2
were,10
cards,28
applicants,3
providing,5
powers,6
poland,5
posthumously,11
result,5
register,2
conflict,1
investors,4
annita,1
respecting,3
souby,1
correction,2
premier,1
needs,3
violating,6
have,80
regulate,9
border,4
any,86
expeditions,1
retirees,1
consolidation,2
academic,1
lim,1
agency,7
lili,1
officers,11
admittance,4
payments,4
also,18
relatives,4
materials,1
forces,6
so,9
korean,2
beirut,1
smuggling,1
province,29
duty,1
threeyear,4
armando,1
unless,34
daughter,1
shall,38
onehalf,1
who,209
correct,1
quota,7
paid,26
unused,3
visitors,4
courtesy,1
visa,21
germany,21
landing,3
significant,2
services,25
oil,1
knowingly,12
payment,15
gain,2
salary,8
reimbursement,4
cuban,12
ong,1
payable,7
considered,3
medical,17
humanitarian,3
request,2
hemisphere,13
order,21
carriers,4
proceedings,12
bui,1
voting,1
salt,1
assistance,145
stationing,1
laws,22
sector,2
otherwise,7
deviation,2
rebels,2
certification,1
commissions,1
twoyear,2
jurisdiction,7
terminate,3
ending,1
executed,2
cambodian,6
foreignborn,3
asylum,5
fine,3
agrees,7
schmid,3
ground,2
deportation,55
knowledge,3
northern,7
title,81
justice,1
collaborators,1
less,1
prison,1
penalty,1
rico,1
only,38
air,1
daschko,1
subsection,1
