Word,Occurrences
,2
deferment,1
narcotic,3
four,1
facilities,14
protest,2
woods,19
asian,22
cyprus,11
whose,6
violate,3
granting,2
eligible,1
dutyfree,1
ministerial,10
striking,2
edward,1
under,45
void,3
oceans,4
appropriation,16
every,1
govern,1
affect,12
tickets,2
companies,2
solution,6
delegate,7
relics,8
poppy,1
immunities,25
straight,4
hostels,3
charter,3
force,2
leaders,2
consistent,4
guidelines,1
direct,23
holocaust,1
subordinate,1
established,5
settlement,48
whaling,2
religious,1
panama,101
selected,1
contributed,2
asia,4
reconstruction,25
conduct,14
supplies,5
net,1
increasing,11
deemed,3
offenses,7
interns,1
protection,38
china,13
represented,7
affiliated,13
voice,1
nonmarket,2
clarify,8
items,2
employees,30
reports,3
credit,17
permit,17
military,53
redevelopment,1
settled,2
punishment,11
secure,3
county,3
total,4
unit,1
criminals,1
would,12
army,8
remainder,1
hospital,1
arms,12
distributing,1
passport,64
recommend,1
type,10
until,18
wars,1
award,3
hold,11
tariff,2
blocking,1
supplemental,26
must,1
flora,2
join,1
rights,30
deficiencies,4
henry,1
exceptions,1
revenues,1
salvage,1
impose,13
give,18
household,1
india,2
agriculturally,11
involve,1
validated,1
guarantee,3
end,4
recovery,25
carriers,2
provide,553
travel,14
damage,22
ratification,2
adjacent,1
significance,4
record,1
ordinary,1
offshore,1
regional,1
after,9
memorial,3
lotteries,2
customs,2
discriminatorily,2
involvement,13
sentencing,2
law,27
extortion,4
types,2
purchase,13
nagasaki,1
attempt,2
effective,1
aliens,10
headquarters,1
unlawfully,1
enter,8
rewards,4
democratic,11
athletes,1
order,56
wine,1
operations,50
restriction,1
office,28
consent,10
over,2
satisfied,1
proportionate,2
london,3
drawdown,1
innovative,1
japan,16
before,25
counterterrorism,1
personal,9
revenue,88
destroyed,3
production,37
compensatory,6
harmony,2
coffee,1
affected,1
safe,1
effects,2
they,13
strategic,1
bank,64
l,1
prerequisite,1
reasonable,3
each,15
european,3
instrumentality,1
consolidate,2
prohibit,92
signing,1
financial,40
crimes,10
principles,5
group,1
vote,5
used,19
trading,9
aids,3
mandated,1
extrajudicial,1
revisions,1
restricted,3
waive,8
vessels,30
encourage,22
adapt,2
banning,1
restraint,1
medicine,3
revolving,2
independence,2
foundation,24
assured,2
stipend,1
appointments,1
disputes,13
formation,1
enhance,8
wanted,1
certified,3
sahelian,1
abets,3
created,9
refugee,9
messages,1
days,2
priorities,1
oppose,8
incorporated,2
kingdom,4
baltic,2
refuges,1
inspectors,1
appeals,3
render,3
thereof,10
restrict,5
antarctic,4
canadamexico,4
service,117
similarly,2
bequest,5
chegin,1
needed,2
rates,4
percentage,5
john,1
reparation,2
streets,1
enhancing,2
serve,5
nominal,1
nonpartisan,1
toronto,3
distance,2
reaffirm,5
nations,171
project,1
domestics,1
unconditionally,2
feeling,1
powers,8
acquisition,2
daniloff,1
respecting,1
manner,4
regulate,7
seek,3
affairs,13
responsible,2
situated,2
causing,1
forces,40
academy,20
transmit,2
effectiveness,4
moscow,1
rhodesia,2
shall,48
iceland,1
indemnification,2
usia,2
wells,2
extending,6
affirmation,11
germany,4
organization,11
assessed,2
drought,1
exonerate,3
preferences,2
reimbursement,4
assisting,4
observation,1
antitrust,1
medical,3
treaty,28
orderly,19
gianelli,1
mailing,1
reserve,13
advisory,9
amending,7
bomb,1
hunger,14
reductions,4
meetings,2
jurisdiction,13
ending,31
treaties,3
radio,26
liberty,12
participate,21
hungary,1
endowment,3
availability,3
proposed,4
implementation,5
situations,3
delays,1
debts,30
minnesota,2
adequate,11
rica,2
do,4
exports,7
de,6
guatemala,4
statutorily,3
new,19
report,18
haiti,6
du,1
comply,1
societies,1
countries,158
public,31
release,10
secretary,3
rehydration,2
mandatory,5
disaster,14
fair,8
subsaharan,7
zones,4
depends,4
bed,1
cattle,1
corrupt,2
immobilization,1
best,1
subject,7
brazil,5
said,2
capacity,14
canadajapan,2
pressures,1
stamps,1
protected,4
olympics,2
cooperation,37
preserve,1
terms,3
extend,21
jose,1
felony,8
restricting,2
intercanadian,25
vitamin,1
authorizing,17
southeast,2
retirement,11
extent,4
hal,1
debt,2
improve,10
received,3
protect,20
country,63
against,105
games,27
contribution,21
expense,1
col,1
libyan,1
sullivan,1
guaranteed,2
seizure,1
administrations,2
trust,2
conference,5
rescission,1
targeting,1
beef,1
basis,18
union,33
referendum,3
been,10
beneficiary,3
commission,87
spread,1
interest,11
basic,5
entered,1
duties,4
board,42
life,2
families,4
eastern,8
drugs,3
concerning,16
technological,2
enterprises,2
chile,2
child,4
aviation,18
landgranttype,1
diverted,1
commerce,11
exception,1
has,6
reciprocal,6
apprehension,1
tunas,12
economies,2
air,16
near,1
applies,1
aid,10
property,29
friuli,6
procedure,6
natives,1
ix,1
losses,2
uganda,5
metropolitan,3
mexico,5
it,13
developmentrelated,1
expenses,22
ii,10
levied,3
march,6
if,18
damaged,8
make,32
selfreliance,2
damages,4
entitled,26
independent,4
declaring,2
liberties,1
producers,2
tuna,3
opportunity,13
programs,102
changes,14
whichever,2
resettlement,5
ocean,4
savings,1
materials,4
claims,67
investments,11
protocol,5
just,4
athletic,11
outsidethelocks,1
distribute,2
assigned,5
transporting,1
human,27
provincesupported,1
retroactive,4
adding,1
enters,2
authorizations,25
royal,2
advancement,3
lessdeveloped,3
issuing,3
defray,1
prison,1
east,5
espoused,2
baselines,4
designate,11
bands,1
survival,1
cultural,24
paramilitary,3
birth,5
advanced,5
occurring,6
gift,6
specific,14
steps,7
officer,6
malnutrition,4
security,103
starvation,2
attorney,1
right,6
deal,3
people,31
crown,8
election,1
indirect,3
denies,2
ussouth,1
communications,7
armed,21
inhuman,1
azores,4
zionism,1
imposes,2
allocate,1
offices,1
participation,117
fish,7
