Word,Occurrences
,1
limited,17
consolidated,3
abundances,2
four,1
facilities,84
lowcost,1
aides,4
grandparent,10
integrity,4
regularize,12
whose,103
noncovered,3
eligible,148
electricity,3
disability,988
pensions,60
refunding,1
fiber,1
under,1404
homemakers,11
worth,1
placed,6
applied,7
legislators,1
rescue,3
physician,6
rise,1
appropriation,8
every,18
hotline,4
reforms,9
affect,9
missionary,3
school,198
evidence,7
ceased,2
skills,5
supports,4
companies,6
unrelated,4
notifying,1
enhance,2
enjoy,2
charter,17
deathrelated,4
force,3
specially,7
consistent,15
guidelines,3
mail,4
direct,44
elections,10
feasibility,5
second,2
chen,1
estimated,12
even,21
established,132
spouses,157
revised,1
medically,1
decisions,34
cooking,2
contributed,6
supplied,1
consequent,6
bonuses,1
xvii,3
establishes,3
conduct,32
new,68
net,21
contributes,2
ever,1
consisting,1
teachers,1
deemed,2
simultaneously,11
offenses,2
multifamily,1
mechanisms,1
mailings,2
men,7
equals,1
hundreds,1
remarried,1
reported,8
protection,23
active,3
affiliated,1
obtained,2
cyclical,6
daughter,1
clarify,16
items,25
employees,161
reports,54
expedited,41
credit,360
fulltime,22
permit,272
military,3
adopting,4
suitable,7
changes,68
cancellation,1
appropriately,1
secure,1
unborn,2
replace,14
county,4
beneficiaries,70
total,41
unit,2
olderly,1
plot,4
criminals,2
would,46
hospital,30
notforprofit,1
distributing,5
foster,28
therefore,1
passport,4
strike,18
memoranda,1
administering,5
type,4
until,55
separated,4
successful,1
benefiting,1
award,22
connecticut,2
adult,19
shelters,2
sixtyday,1
hold,10
supplemental,453
circumstances,23
intake,1
divorced,71
rights,20
work,107
gasoline,1
refusing,1
repaid,1
divorces,5
deprived,2
revenues,56
route,1
attribution,2
transition,11
give,12
household,155
preserving,3
impair,1
selfsufficiency,3
foods,6
selfsufficient,1
reviewing,4
counseling,39
guarantee,5
ceremony,3
aging,37
autonomy,1
end,5
recovery,10
carriers,7
provide,2769
verify,3
travel,7
monroe,1
answer,1
ordinary,2
resignation,1
charging,5
contagious,1
commencing,1
regional,10
replacing,12
after,142
containing,2
lump,6
lay,1
law,138
meaningful,2
promotion,8
types,16
purchase,46
retail,3
third,16
youths,15
neglect,5
maintain,21
expenses,204
ambulance,3
uninsured,10
preventive,4
operate,6
order,146
operations,6
restriction,1
executed,1
office,47
claimant,17
consent,4
over,128
govern,1
satisfied,2
proportionate,8
equality,1
deducted,10
suspend,10
saving,2
chronically,5
before,111
manageable,3
personal,43
heretofore,2
fix,2
remuneration,11
survivors,202
production,2
weeks,9
fin,1
sheltered,19
then,3
them,80
affected,9
diseases,4
prevented,2
unemployed,20
reaches,3
they,74
schools,27
comprised,1
rental,3
bank,4
onethird,5
niches,3
represents,1
notified,1
reasonably,1
accompanying,1
l,1
cashout,22
lockout,1
reasonable,8
each,256
went,2
decreasing,1
meal,3
bond,2
consolidate,20
prohibit,105
correctional,3
financial,58
meets,11
series,1
train,5
incometax,1
aide,1
provincefederal,1
aids,3
saturday,7
borne,8
restricted,2
waive,6
vessels,1
counselors,3
encourage,50
branch,6
medicine,5
newly,23
independence,6
foundation,2
imprisonment,2
telecommunication,2
assured,1
qualifications,3
fugitive,1
free,21
standard,20
disputes,1
streamline,3
enlarge,2
detecting,1
offbudget,7
longterm,13
days,12
presumptive,5
deems,4
oppose,4
incorporated,4
signature,5
corrections,2
repealed,2
already,13
render,1
preretirement,1
railroads,1
primary,44
thereof,53
hearing,55
channels,3
floors,1
establishments,1
another,46
feeding,6
rated,3
solicitations,1
service,224
similarly,10
tor,1
chuanhuang,1
needed,20
rates,80
xiv,18
xix,71
percentage,18
farming,4
dogs,3
urban,22
ceiling,39
mandatorily,2
grandchildren,2
glaucoma,1
serve,11
japanese,1
febe,1
helen,8
assistants,2
requisite,2
maximizing,1
postsecondary,13
last,5
structures,4
reaffirm,16
likely,4
nations,3
project,27
recency,2
enables,1
solely,4
stepchild,6
unintended,1
respecting,12
mine,5
talking,2
seed,2
childcare,8
manner,22
increment,8
fluorspar,1
regulate,2
seek,1
relatively,3
affairs,5
functioning,3
latter,7
responsible,7
facetoface,2
situated,8
localities,9
causing,1
forces,4
effectiveness,9
workincentive,1
shall,715
labormanagement,1
eliminates,3
simplify,10
regular,30
schoolbased,1
revising,4
retaining,1
assessed,1
nonprofits,1
reimbursement,77
assisting,1
reallotted,1
medical,106
m,1
investments,5
orderly,1
accounted,1
mailing,25
sum,6
reserve,7
renting,2
incorporate,3
amending,4
hunger,8
reductions,152
reorganize,13
retire,21
ending,9
radio,2
participate,47
substituting,3
endowment,1
availability,17
charity,1
judges,17
submit,1
just,3
implementation,9
menu,1
discretionary,2
rico,12
photo,1
integrate,1
adequate,35
rice,1
do,21
above,12
di,1
remarry,5
toll,6
preferred,1
shutting,4
sequestration,3
despite,11
report,5
comply,9
societies,6
earn,270
increasing,35
spinoffs,4
countries,4
public,298
illegitimate,1
twice,3
shots,1
release,1
hasten,1
automatic,177
secretary,31
headed,5
fuel,32
mandatory,41
disaster,1
fair,4
testing,2
alterations,7
detection,3
result,14
activities,18
best,2
subject,199
said,2
capacity,5
inappropriate,14
away,2
patients,3
xvi,396
stamps,160
protected,1
cooperation,13
newlyhired,1
ira,1
preserve,1
deferred,2
felons,4
terms,1
extend,264
nature,4
felony,8
restricting,3
authorizing,14
forfeiture,1
ws,1
extent,65
news,1
debt,3
improve,196
faced,4
received,164
protect,13
referral,7
psychologists,1
sanitation,1
met,3
fault,2
ill,12
amortized,1
heating,9
against,119
participating,25
informal,15
receives,18
exceeds,1
contribution,56
expense,21
adapted,1
workers,54
supplementation,14
deafblind,17
cemetery,1
hygiene,1
initiative,1
applicability,2
trust,151
conference,18
jobless,1
reconsideration,29
basis,377
union,1
three,19
been,113
quickly,2
beneficiary,83
commission,22
nonsalaried,1
interest,63
basic,5
entered,52
incompetent,7
duties,1
board,14
life,25
families,250
drugs,13
concerning,21
retirementforage,1
worker,16
allotting,5
teenagers,2
moneys,1
confinement,2
child,348
worked,1
convening,2
commerce,9
exception,4
nonphysical,1
publicly,2
lessen,1
homebound,1
air,1
employ,8
moratorium,5
ceilings,3
viii,3
leaves,1
applies,17
appeals,13
aid,387
property,68
study,23
procedure,20
ix,2
seven,1
compliance,7
metropolitan,4
it,121
iv,188
ii,2056
eighteen,3
vendor,8
if,306
memorial,1
decoupling,8
severity,2
perform,15
parish,1
make,448
clearly,1
periodic,23
potentially,4
inventory,1
big,4
several,1
showing,4
entitled,241
independent,44
decedent,1
numerical,2
rail,2
fridays,1
producers,1
faiths,12
opportunity,72
sixmonth,1
prescribed,21
kept,2
whereby,1
programs,773
failing,2
redeem,2
inherit,9
employeed,1
savings,18
materials,4
impediment,3
greatest,7
incapable,7
mother,15
claims,105
camps,5
corporate,1
musical,1
left,2
unified,13
world,4
jurisdictions,2
proposed,3
unemployment,46
outofschool,1
randolphsheppard,6
twoparty,3
distribute,2
effects,5
assigned,3
nonpeak,5
identify,1
purchasing,7
human,36
facts,1
yet,5
succeeding,15
previous,16
adding,4
remedial,1
authorizations,43
unable,1
legion,2
regarded,1
had,28
advancement,1
disparity,15
copyrights,1
defray,5
prison,1
fares,5
has,240
designate,3
lowinterest,1
municipal,2
involuntary,2
advances,2
addicts,42
objective,4
whichever,3
birth,2
judge,2
pertinent,1
occurring,37
desire,2
brought,1
gift,2
standardization,11
performing,4
unnecessary,4
specific,13
gwendolyn,1
officer,9
security,437
towards,1
right,66
old,29
deal,2
people,22
successfully,2
deaf,31
enrolling,1
elderly,385
excludability,4
born,4
clubs,2
tutorial,1
denies,2
securities,2
collect,2
armed,4
totals,1
contributing,5
individuals,1067
workexperience,1
denied,2
steps,5
participation,156
cord,1
marketing,1
dental,8
costof,1
constructive,4
childwelfare,1
architectural,52
losing,10
taxability,1
post,2
democratic,1
permitted,182
mechanized,1
proceed,1
chapter,38
limitation,395
dollars,6
months,63
plus,3
islands,10
efforts,7
codify,1
automatically,10
formerly,1
presence,1
civil,23
lien,1
combine,10
administer,24
donated,7
furnishing,14
lieu,17
balanced,2
reducing,21
servicelearning,1
methods,5
existed,1
authorizes,1
support,95
initial,19
legislation,9
class,4
virgin,8
accordingly,31
conservation,21
authorized,117
way,12
threshhold,1
was,54
war,4
ten,8
asset,1
insuurance,1
head,5
therefrom,1
form,14
appropriateness,1
clinics,13
becoming,29
conclusively,2
discourage,1
payable,207
heat,4
blindness,4
safeguard,2
true,1
never,6
counsel,2
portions,1
consultants,2
prevents,1
attached,3
maximum,51
devices,7
economic,73
simplifying,8
minor,52
terminally,1
seafood,1
penal,27
passenger,1
strengthening,26
liberal,2
puerto,12
computing,29
sale,24
xiii,1
claimants,3
accounting,7
adversely,9
widows,195
commuting,4
check,12
fraternal,13
constructed,6
vista,1
solicitation,2
eventual,1
no,85
generally,23
pronazi,1
setting,12
role,4
holding,1
test,133
reallotment,15
permitting,24
reconsider,1
brothers,4
models,1
dies,47
preceding,36
utilities,9
concurrent,4
invested,2
rising,14
authorities,1
oncall,1
died,9
reorganization,10
longer,20
assume,4
annuity,18
together,1
premiums,7
notification,13
conferred,1
prospective,1
profits,1
irrigation,1
childs,84
revoke,1
corps,15
relieve,1
alternatives,9
focus,11
supplement,14
computation,76
milk,5
disorders,2
federallyassisted,7
father,7
environment,1
charge,7
trustees,12
permanently,17
determinations,47
devotes,1
disapproved,1
must,71
veterans,74
redirection,1
southwest,2
brown,1
protective,6
telegraph,1
hearingimpaired,14
dependant,1
bilingualism,3
consolidation,3
choice,4
liability,13
automobiles,1
alcoholics,42
centralized,3
nor,1
governments,46
respiratory,7
level,37
permits,4
hawaii,6
standards,61
leave,7
excellence,14
depository,1
disqualify,2
unaware,1
lowrent,1
prevent,84
rents,2
findings,2
trend,3
dealing,1
cost,110
voucher,3
minimis,1
constitution,1
assistance,702
uniform,9
current,31
international,18
falling,1
appeal,10
supporting,20
processing,7
transportation,104
grandparents,1
funeral,9
containment,1
water,11
attainment,23
groups,14
along,21
withdrawals,1
change,8
wait,4
boy,9
enroll,2
exemption,230
redemption,6
thirty,1
canadian,12
institute,9
funded,1
thereunder,870
exploitation,3
dentures,2
burdensome,1
therein,11
workrelated,2
studies,16
teenage,3
elect,61
extra,5
soybeans,1
marked,1
graduated,1
flexibility,24
retires,2
penalized,2
nearpoor,2
mckenna,3
should,2
deafness,1
market,7
working,33
entities,2
shortfalls,1
live,5
opposed,1
criteria,8
scope,2
entrance,3
sharing,1
afford,1
subsistence,3
attained,196
cases,157
behalf,9
organizations,98
wanda,1
caseload,1
thousands,1
flu,1
remarriage,46
reviews,19
labeled,1
printing,1
values,6
