Word,Occurrences
,1
limited,5
systematic,1
consolidated,2
all,8
facilities,69
controversial,1
integrity,6
granting,3
eligible,5
under,28
risk,3
oceans,12
sellers,1
appropriation,14
every,2
jack,1
tickets,1
school,1
receiving,6
companies,23
solution,3
convenience,4
enhance,9
aeronautics,137
force,2
consistent,1
guidelines,1
direct,39
feasibility,5
second,1
subordinate,3
established,6
revised,1
cyprus,1
decoding,3
toll,8
new,16
increasing,2
deemed,124
reporter,1
incentives,4
protection,16
active,1
obtained,3
property,18
forum,3
ventures,2
study,11
reports,4
credit,29
fulltime,1
procedure,1
permit,21
changes,10
secure,3
campaign,1
replace,1
county,2
modulated,19
broadcasters,5
forums,1
unit,2
experimentation,4
would,12
hospital,1
distributing,1
foster,4
call,6
therefore,4
distortions,1
preview,1
assessment,3
until,12
newspersons,1
award,1
hold,1
tariff,1
supplemental,7
must,3
rights,3
theories,1
revenues,2
indicated,17
household,2
preserving,5
ia,1
gorda,1
tornadoes,13
recovery,3
carriers,347
provide,342
verify,1
travel,2
very,9
hot,1
morbid,2
regional,3
minority,1
after,1
customs,1
documentaries,1
law,8
promotion,1
types,18
purchase,5
effective,11
bioethics,1
patent,1
maintain,5
enter,3
operate,12
order,54
operations,15
office,18
over,2
mustcarry,1
before,3
personal,5
better,1
production,5
affected,2
unemployed,1
safe,2
commemorate,1
band,6
effects,3
they,18
bank,5
competitiveness,2
reasonable,11
each,14
telecommuncations,1
consolidate,5
prohibit,65
shuttle,8
financial,12
directly,2
crimes,1
principles,2
literature,2
substantially,1
laboratory,7
revisions,5
network,7
quantify,2
content,2
method,3
encourage,37
assignment,6
revolving,2
engineer,1
forth,2
foundation,113
telecommunication,7
assured,1
associate,1
sakharov,1
free,8
standard,6
appointments,1
detecting,18
universally,2
certified,1
refugee,1
longterm,15
syndication,4
industrial,4
noncommercial,3
encouraging,4
thereof,4
channels,10
electronic,13
agriculture,1
service,276
effectuates,3
returns,3
needed,1
rates,15
listed,1
damaging,3
enhancing,1
serve,10
negotiating,1
japanese,4
distance,1
nations,20
matter,2
invention,2
powers,2
acquisition,4
manned,2
respecting,4
spectrum,1
manner,8
regulate,218
seek,2
affairs,5
strength,1
person,2
responsible,6
oriented,9
recommended,1
materials,7
forces,3
effectiveness,3
shall,84
translator,12
extending,1
involving,3
letter,1
entry,7
drought,1
medical,1
flow,3
orderly,148
consumer,3
incorporate,1
amending,5
reorganize,6
jurisdiction,2
radio,93
participate,2
earth,23
nevada,2
endowment,1
availability,15
proposed,2
implementation,3
debts,6
rico,1
adequate,7
do,19
conduct,47
watch,1
coast,1
competitive,3
report,12
dr,1
countries,1
fields,4
commercialization,3
automatic,3
mergers,125
leasing,3
disaster,1
reference,5
subject,7
oceanic,28
capacity,2
propulsion,9
unable,2
cooperation,5
preserve,3
terms,27
extend,36
modify,2
fruits,1
authorizing,221
extent,6
news,22
improve,22
received,1
climate,11
providing,20
violators,1
deregulation,10
ill,1
heating,2
against,23
games,1
contribution,6
obscenity,11
springs,1
trust,2
telecommunications,288
basis,16
holdings,13
three,2
commission,689
interest,135
basic,7
privilege,4
duties,4
dry,1
life,5
efficacy,1
concerning,4
enterprises,1
child,1
aviation,2
applied,1
commerce,253
reciprocal,2
affirm,4
launches,2
originate,4
air,1
employ,2
moratorium,6
teachers,2
aid,1
balance,2
employees,8
launched,1
played,1
it,3
expenses,5
ii,6
comparative,1
if,6
perform,3
border,1
make,245
damages,9
entitled,27
independent,26
satellite,38
published,1
qualifications,1
ownership,12
amortization,2
opportunity,1
programs,75
ocean,12
savings,1
practices,2
claims,6
alabama,1
just,4
unemployment,2
consortium,2
identify,2
human,7
authorizations,10
candidate,1
sciences,4
had,1
advancement,4
board,21
technological,28
has,3
designate,1
involuntary,3
possible,4
interior,1
boxes,1
advanced,1
recodify,1
specific,3
broadcaster,1
offices,1
officer,2
security,5
performing,2
people,3
deaf,1
elderly,1
nonmember,7
productions,1
election,3
multiple,1
advertise,1
theatrical,1
orbiter,7
preeminence,1
collect,8
armed,3
daytime,6
continue,5
exposition,1
participation,4
videoconferencing,1
marketing,2
predicting,21
peer,2
manufacturing,4
properties,4
chapter,10
newspapers,29
citizens,17
misleading,1
ensure,15
shared,1
efforts,3
objectives,2
functions,10
considerations,4
civil,6
nongovernmental,2
obscene,10
accommodate,2
rendering,207
right,21
furnishing,2
doctrine,3
publics,6
authorizes,1
segment,4
support,11
class,2
conservation,1
authorized,4
crews,1
fairness,7
launching,2
telegraph,7
lowest,2
amateur,6
offering,1
landing,2
solar,2
safeguard,8
continuance,1
administering,1
maximum,7
devices,5
proved,1
nudity,11
expertise,1
physical,6
discriminate,1
nm,1
no,5
when,129
role,2
holding,5
test,5
company,19
fraudulent,1
transported,1
intent,216
transfers,2
reorganization,2
daily,1
time,14
profits,1
remarkable,1
diplomacy,1
global,3
hightechnology,2
focus,15
country,9
supplement,2
computation,2
zone,1
environment,7
charge,1
promoting,2
marks,1
circumstances,1
veterans,2
frequencies,4
governments,4
level,12
proposals,1
hawaii,3
standards,17
item,1
domestically,5
settle,6
prevent,1
findings,214
dealing,3
cost,1
assistance,22
uniform,8
current,13
reply,1
consolidations,1
supporting,1
transportation,6
heavily,2
water,7
address,5
change,1
exemption,1
canadian,7
institute,8
thereunder,2
trial,1
women,3
regardless,4
morals,11
licensing,3
crime,3
permitted,6
criteria,7
introducing,1
entrance,1
equipped,3
commissioned,1
cases,1
effort,3
organizations,4
facilitating,1
can,6
fla,1
making,19
deceased,1
geopressured,1
december,1
performed,8
council,7
offense,2
wealther,1
parliamentary,2
monitoring,22
hostage,1
economy,3
may,33
applications,166
designed,2
improving,8
data,26
supersonic,1
provincements,2
natural,1
liquid,1
applicant,3
explicit,11
inform,6
so,8
deposit,1
quantifiable,3
unsolicited,18
furnished,1
coordinating,6
years,77
hiring,1
consolidating,5
supplemented,2
broadcasts,12
policy,85
coordinated,17
into,23
finance,5
recipients,2
civilian,15
compelled,2
subscribers,4
not,87
now,4
provision,17
hall,2
expedite,4
nexrad,2
term,25
equality,1
name,3
january,5
hancock,1
establishing,11
rock,1
entirely,1
coastal,2
populated,2
receipt,1
challenger,6
entering,1
year,45
et,3
sunrise,1
canada,264
space,223
interference,19
increase,46
contained,3
investigation,2
rational,1
objectivity,3
shows,1
theory,1
enroute,1
seventh,2
telegraphs,2
obligation,1
marine,6
longrange,5
advance,14
training,5
language,3
impose,4
programming,29
british,2
motion,1
nonprofit,2
origin,3
suspend,1
saving,1
revenue,104
indecent,1
one,10
commissioners,4
long,4
periodical,1
carry,16
corporations,3
open,3
size,3
given,1
compulsory,2
remotesensing,3
cooling,2
structures,2
taxation,3
circulated,2
broadcast,212
representing,1
than,11
television,125
accordance,2
require,273
future,6
interservice,1
newsman,1
recover,1
any,40
prosperity,8
conversion,10
aside,2
equipment,238
emphasis,1
potential,4
take,5
objective,6
performance,2
channel,3
aspen,1
investigations,1
paid,74
fcc,1
complaints,1
undertakings,5
imposition,2
refunds,1
sale,2
federal,516
trafficking,1
professional,9
effect,1
duplication,2
laws,25
costsharing,2
ground,11
title,41
storms,8
considering,2
only,3
skywave,1
inventions,4
interlata,2
contracts,2
assistant,3
crossownership,1
conjunction,6
prime,22
regarding,27
resource,3
medias,4
where,3
fellowships,1
intergovernmental,1
relative,1
elected,1
college,1
interprovince,230
voluntary,3
ways,3
review,11
willard,1
representatives,2
bureau,1
between,12
affecting,7
across,1
affordable,3
august,8
receivers,5
originated,3
repromulgate,1
killing,2
awards,2
postage,1
installation,4
missions,2
efficiency,2
nomenclature,1
contract,4
deduction,9
lifeline,4
allowance,2
among,2
forecasting,5
filtering,2
continuation,1
period,4
pole,5
grants,20
renewals,2
specializing,1
capable,6
encryption,2
deposited,1
peaceful,1
borders,1
direction,3
enable,4
shortages,2
georgia,1
geothermal,3
andrei,1
minister,30
acquiring,1
those,4
sound,3
developing,1
amend,837
single,3
ongoing,1
policies,15
newspaper,3
converted,1
outofprovince,1
alcoholic,2
metric,2
telephone,339
according,1
technology,108
fame,2
expenditures,14
develop,39
pay,7
granted,4
same,12
inquiry,1
constructed,1
events,1
status,3
extended,3
oceanographic,2
meteorological,3
assist,8
director,1
persons,26
statutory,1
validate,2
charges,6
amounts,47
accountable,2
without,8
relief,3
laboratories,8
bodies,1
charged,1
summer,1
actions,214
noaa,1
electrification,8
heuristic,1
renewed,14
geological,1
improvement,1
treatment,6
electrical,1
careers,3
aspects,2
rules,20
interprovinces,1
traffic,1
using,10
vending,1
suppliers,1
audience,1
donations,6
served,4
reduced,1
competition,16
deduce,1
specified,2
matching,1
provided,7
scholarships,1
legal,1
critical,7
lunar,2
turkey,1
forfeitures,6
scientific,59
power,3
equivalent,1
notable,1
leadership,4
on,131
conducting,2
central,1
stations,114
industry,227
violence,3
aquaculture,1
testimony,1
lands,7
afforded,2
communication,73
skilled,1
determine,1
operator,1
technically,3
prepare,10
area,10
alleged,6
low,2
catv,1
agreements,3
regard,4
hurricanes,18
technologies,19
promote,32
with,571
amplify,3
shortterm,16
fraud,3
vhf,1
taste,11
certain,410
am,9
sales,3
general,5
examine,1
formulation,7
controlled,1
nonrecognition,3
film,1
amendments,2
assessing,1
antenna,1
piracy,2
personnel,4
abolish,3
field,3
valid,1
announcements,1
federallysponsored,2
gifts,8
coverage,1
included,1
equitable,4
pool,1
building,1
subdivision,2
calls,53
directors,1
behavioral,1
overseas,1
oral,2
original,10
legislatures,1
colleges,3
consider,1
alleviation,1
dollar,2
spacecraft,4
portraying,11
cooperative,11
welfare,9
allowances,1
decisions,3
children,10
causes,1
synthetic,1
